City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
88,meadow lake,34.8,-106.54,89.6,15,75,11.41,US,1593052658
89,kutum,14.2,24.67,72.57,52,30,5.64,SD,1593052658
90,butaritari,3.07,172.79,84.13,76,26,12.68,KI,1593052626
91,vana-vigala,58.78,24.25,52.0,89,0,1.57,EE,1593052658
92,barrow,71.29,-156.79,35.6,74,75,9.17,US,1593052631
93,plettenberg bay,-34.05,23.37,69.87,28,0,15.68,ZA,1593052658
94,vardo,70.37,31.11,50.0,81,10,10.29,NO,1593052658
95,avarua,-21.21,-159.78,73.4,88,40,6.93,CK,1593052658
96,sola,-13.88,167.55,81.46,78,0,10.54,VU,1593052658
97,winnemucca,40.97,-117.74,87.8,14,75,20.8,US,1593052658
98,ponta do sol,32.67,-17.1,69.8,68,20,10.29,PT,1593052658
99,fort nelson,58.81,-122.7,71.6,28,75,3.36,CA,1593052658
100,wagar,16.15,36.2,88.57,27,89,9.42,SD,1593052659
101,leningradskiy,69.38,178.42,35.62,82,100,12.06,RU,1593052659
102,pangnirtung,66.15,-65.71,40.57,84,99,0.74,CA,1593052659
103,aklavik,68.22,-135.01,53.6,50,90,8.05,CA,1593052659
104,norman wells,65.28,-126.83,53.6,76,90,5.82,CA,1593052659
105,santa cruz,-17.8,-63.17,75.2,88,75,19.46,BO,1593052635
106,klaksvik,62.23,-6.59,50.0,93,12,10.29,FO,1593052659
107,guerrero negro,27.98,-114.06,63.72,87,0,15.79,MX,1593052659
108,takoradi,4.88,-1.76,77.04,89,81,8.1,GH,1593052385
109,hofn,64.25,-15.21,50.07,84,1,5.03,IS,1593052659
110,toledo,39.83,-4.0,79.0,47,0,6.93,ES,1593052517
111,port elizabeth,-33.92,25.57,60.8,28,0,8.05,ZA,1593052662
112,pacific grove,36.62,-121.92,59.0,82,90,8.05,US,1593052662
113,lagoa,39.05,-27.98,63.48,73,10,10.36,PT,1593052662
114,manggar,-2.88,108.27,82.63,72,100,9.22,ID,1593052662
115,kodiak,57.79,-152.41,55.4,76,75,12.75,US,1593052363
116,nieves,15.33,120.95,89.6,66,75,9.17,PH,1593052662
117,tera,14.01,0.75,90.39,40,0,15.97,NE,1593052423
118,manado,1.49,124.85,86.0,66,40,2.24,ID,1593052588
119,upernavik,72.79,-56.15,34.75,90,41,0.51,GL,1593052663
120,cape town,-33.93,18.42,63.0,87,75,14.99,ZA,1593052465
121,ovsyanka,55.96,92.55,68.0,72,23,6.71,RU,1593052663
122,saint-pierre,-21.34,55.48,68.0,72,0,6.93,RE,1593052663
123,mazatlan,23.22,-106.42,82.0,81,65,2.3,MX,1593052461
124,georgiyevka,43.04,74.71,71.6,43,0,6.71,KZ,1593052663
125,asyut,27.18,31.18,77.0,41,0,20.8,EG,1593052663
126,znamenskoye,57.13,73.83,59.86,87,70,8.7,RU,1593052663
127,colorado,-22.84,-51.97,66.22,69,98,7.85,BR,1593052663
128,mahebourg,-20.41,57.7,69.8,94,75,14.99,MU,1593052663
129,faanui,-16.48,-151.75,79.74,82,7,7.14,PF,1593052663
130,omboue,-1.57,9.26,72.77,83,100,7.0,GA,1593052663
131,mecca,21.43,39.83,85.6,19,99,6.69,SA,1593052663
132,constantine,36.37,6.61,64.4,63,0,3.36,DZ,1593052663
133,olinda,-8.01,-34.86,78.8,74,40,4.7,BR,1593052500
134,itarema,-2.92,-39.92,76.19,87,86,13.09,BR,1593052664
135,jackson,42.42,-122.83,84.2,32,1,13.87,US,1593052664
136,berlevag,70.86,29.09,48.0,76,31,11.16,NO,1593052664
137,huangzhou,30.45,114.8,82.4,78,40,4.47,CN,1593052664
138,cayenne,4.93,-52.33,77.0,100,75,4.45,GF,1593052664
139,ringsted,55.44,11.79,57.0,86,100,2.24,DK,1593052664
140,saskylakh,71.92,114.08,87.31,19,58,6.78,RU,1593052664
141,aketi,2.74,23.78,71.11,91,100,1.61,CD,1593052664
142,deyang,31.13,104.38,93.99,54,10,5.1,CN,1593052664
143,namatanai,-3.67,152.43,86.43,61,17,12.46,PG,1593052665
144,saint george,37.1,-113.58,100.4,12,1,14.99,US,1593052665
145,san patricio,19.22,-104.7,80.02,77,91,3.6,MX,1593052665
146,kotagiri,11.43,76.88,77.0,88,75,2.24,IN,1593052665
147,bulnes,-36.74,-72.3,44.6,93,75,10.29,CL,1593052665
148,new norfolk,-42.78,147.06,55.99,93,41,3.38,AU,1593052665
149,vao,-22.67,167.48,70.3,60,0,12.46,NC,1593052666
150,micheweni,-4.97,39.83,77.38,79,12,14.9,TZ,1593052666
151,sioux lookout,50.1,-91.92,66.2,48,20,2.21,CA,1593052666
152,comodoro rivadavia,-45.87,-67.5,32.0,71,96,9.17,AR,1593052666
153,mar del plata,-38.0,-57.56,53.01,81,95,6.93,AR,1593052666
154,iqaluit,63.75,-68.51,46.4,87,90,4.7,CA,1593052666
155,abrau-dyurso,44.69,37.59,64.4,93,75,4.47,RU,1593052666
156,kahului,20.89,-156.47,86.0,58,75,5.82,US,1593052419
157,atuona,-9.8,-139.03,79.48,67,25,13.47,PF,1593052666
158,isangel,-19.55,169.27,76.5,81,75,11.5,VU,1593052666
159,cabo san lucas,22.89,-109.91,87.8,25,5,12.75,MX,1593052511
160,taveta,-3.4,37.67,66.2,93,75,9.78,KE,1593052666
161,rudarpur,26.44,83.61,92.32,58,56,4.0,IN,1593052666
162,thinadhoo,0.53,72.93,83.8,78,96,10.27,MV,1593052666
163,siocon,7.71,122.14,85.39,70,56,1.92,PH,1593052666
164,nizwa,22.93,57.53,85.3,51,0,1.3,OM,1593052666
165,puerto ayora,-0.74,-90.35,70.0,93,72,5.23,EC,1593052666
166,graaff-reinet,-32.25,24.53,52.38,39,0,11.03,ZA,1593052666
167,port augusta,-32.5,137.77,62.6,63,0,2.24,AU,1593052666
168,east london,-33.02,27.91,67.87,25,0,6.73,ZA,1593052666
169,sao lourenco do oeste,-26.36,-52.85,58.78,88,0,7.0,BR,1593052667
170,wellington,-41.29,174.78,53.6,76,82,14.99,NZ,1593052667
171,khandbari,27.37,87.2,81.43,64,42,0.69,NP,1593052432
172,tura,25.52,90.22,80.82,87,76,7.87,IN,1593052448
173,filimonovo,56.2,95.46,76.35,64,24,3.13,RU,1593052667
174,semypolky,50.72,30.93,64.99,87,48,6.71,UA,1593052667
175,palmer,42.16,-72.33,66.99,72,20,3.53,US,1593052406
176,arraial do cabo,-22.97,-42.03,68.0,88,0,6.93,BR,1593052667
177,buluang,13.31,123.34,92.8,54,100,0.47,PH,1593052667
178,bay city,43.59,-83.89,64.4,51,1,3.36,US,1593052383
179,okha,53.57,142.95,50.85,78,91,17.36,RU,1593052667
180,lasa,46.62,10.7,59.0,100,90,4.7,IT,1593052667
181,nizhniy tsasuchey,50.52,115.13,70.57,44,71,11.88,RU,1593052667
182,antalaha,-14.9,50.28,67.82,85,1,7.38,MG,1593052668
183,gao,16.64,1.64,91.2,21,1,5.57,ML,1593052668
184,tuatapere,-46.13,167.68,48.49,73,67,5.3,NZ,1593052668
185,mandalgovi,45.76,106.27,64.49,48,7,15.01,MN,1593052455
186,petropavlovsk-kamchatskiy,53.05,158.65,80.6,42,4,11.18,RU,1593052668
187,trinidad,-14.83,-64.9,75.47,78,18,4.34,BO,1593052668
188,kananga,-5.9,22.42,68.32,48,8,3.71,CD,1593052668
189,chiang rai,19.91,99.83,81.0,88,20,4.7,TH,1593052497
190,melfort,52.87,-104.62,66.2,93,75,9.17,CA,1593052669
191,rizhao,35.43,119.46,78.31,59,0,4.74,CN,1593052669
192,dingle,11.0,122.67,87.73,66,100,6.96,PH,1593052669
193,bethel,41.37,-73.41,68.0,68,1,3.36,US,1593052478
194,cotonou,6.37,2.42,80.6,83,75,16.11,BJ,1593052669
195,sao raimundo nonato,-9.02,-42.7,71.69,69,0,4.81,BR,1593052669
196,beira,-19.84,34.84,62.6,93,32,5.82,MZ,1593052442
197,maldonado,-34.67,-54.92,57.2,100,90,12.75,UY,1593052669
198,ngorongoro,-3.24,35.49,48.61,100,88,6.78,TZ,1593052669
199,san quintin,30.48,-115.95,63.25,85,33,9.53,MX,1593052601
200,tahta,26.77,31.5,82.4,37,0,13.87,EG,1593052669
201,abu zabad,12.35,29.25,79.45,58,85,11.54,SD,1593052669
202,santa maria,-29.68,-53.81,78.8,50,75,16.11,BR,1593052547
203,zhigansk,66.77,123.37,73.8,48,0,10.96,RU,1593052669
204,denpasar,-8.65,115.22,80.15,75,100,11.12,ID,1593052584
205,yulara,-25.24,130.99,62.6,29,66,6.93,AU,1593052669
206,mattru,7.62,-11.83,73.36,97,84,1.63,SL,1593052669
207,kagoro,9.6,8.38,68.68,97,88,2.26,NG,1593052669
208,varlamovo,53.19,48.42,52.99,75,0,13.0,RU,1593052670
209,haines junction,60.75,-137.51,52.5,45,0,10.18,CA,1593052670
210,lebu,-37.62,-73.65,44.69,84,0,4.61,CL,1593052670
211,petauke,-14.24,31.33,56.73,90,25,10.58,ZM,1593052670
212,lerwick,60.15,-1.15,51.8,87,99,1.12,GB,1593052670
213,saint pete beach,27.73,-82.74,84.99,74,1,5.82,US,1593052670
214,jiuquan,39.74,98.52,79.72,15,98,3.42,CN,1593052670
215,ahipara,-35.17,173.17,62.08,82,83,5.48,NZ,1593052670
216,bella vista,36.43,-94.23,75.2,60,1,4.7,US,1593052670
217,taungdwingyi,20.02,95.55,84.0,73,99,9.82,MM,1593052670
218,nantucket,41.28,-70.1,64.99,93,1,9.17,US,1593052473
219,rocha,-34.48,-54.33,57.6,96,96,5.93,UY,1593052670
220,kilindoni,-7.91,39.67,78.24,79,8,21.59,TZ,1593052670
221,ranong,9.97,98.63,86.0,79,40,2.86,TH,1593052670
222,emerald,-23.53,148.17,66.99,39,0,6.93,AU,1593052670
223,ribeira grande,38.52,-28.7,63.48,68,0,6.26,PT,1593052670
224,krasnoselkup,65.7,82.47,63.48,44,0,3.51,RU,1593052670
225,teruel,40.67,-0.67,68.0,87,15,6.93,ES,1593052671
226,fenoarivo,-18.93,47.44,59.0,93,75,6.93,MG,1593052671
227,tasiilaq,65.61,-37.64,37.4,100,100,2.98,GL,1593052671
228,taltal,-25.4,-70.48,57.33,69,65,5.1,CL,1593052671
229,ostrovnoy,68.05,39.51,45.7,74,96,6.93,RU,1593052421
230,madera,37.17,-119.83,93.99,23,0,1.01,US,1593052671
231,derzhavinsk,51.1,66.32,64.94,53,98,2.57,KZ,1593052671
232,ilulissat,69.22,-51.1,41.0,80,27,3.36,GL,1593052671
233,praia da vitoria,38.73,-27.07,60.8,72,20,7.67,PT,1593052671
234,tabou,4.42,-7.35,76.59,86,100,7.67,CI,1593052671
235,biak,-0.91,122.88,82.11,75,53,7.67,ID,1593052671
236,dunedin,-45.87,170.5,48.99,88,96,13.4,NZ,1593052671
237,sterling,39.01,-77.43,77.0,60,90,4.7,US,1593052480
238,lorengau,-2.02,147.27,84.0,79,7,12.82,PG,1593052672
239,richards bay,-28.78,32.04,62.73,68,0,13.44,ZA,1593052672
240,hambantota,6.12,81.12,77.0,100,20,4.7,LK,1593052672
241,daru,-9.08,143.21,80.74,85,32,15.7,PG,1593052672
242,nyurba,63.28,118.33,80.8,32,21,7.49,RU,1593052672
243,darasun,51.67,114.0,66.2,68,40,4.47,RU,1593052672
244,vila,42.03,-8.16,62.01,100,90,1.12,PT,1593052672
245,lodwar,3.12,35.6,79.77,57,15,12.73,KE,1593052672
246,karlstad,59.38,13.5,60.01,93,0,3.58,SE,1593052672
247,namibe,-15.2,12.15,67.5,61,0,8.3,AO,1593052673
248,bonthe,7.53,-12.51,77.18,88,99,6.78,SL,1593052673
249,luderitz,-26.65,15.16,60.8,56,0,5.82,NA,1593052673
250,qaanaaq,77.48,-69.36,36.03,81,0,2.28,GL,1593052673
251,dali,25.7,100.18,69.12,76,99,3.47,CN,1593052673
252,qasigiannguit,68.82,-51.19,41.0,80,56,3.36,GL,1593052674
253,san roque,36.21,-5.38,68.0,94,0,2.24,ES,1593052674
254,tupsan,9.2,124.78,83.28,74,100,6.98,PH,1593052674
255,darien,41.75,-87.97,73.4,60,90,5.82,US,1593052674
256,kunashak,55.7,61.55,51.8,71,20,8.95,RU,1593052674
257,sisimiut,66.94,-53.67,38.89,81,57,7.72,GL,1593052674
258,tazovskiy,67.47,78.7,52.18,68,14,2.06,RU,1593052674
259,linqing,36.85,115.71,89.38,41,0,7.18,CN,1593052674
260,birobidzhan,48.8,132.95,56.48,97,100,8.95,RU,1593052674
261,guiratinga,-16.35,-53.76,68.22,68,0,5.55,BR,1593052674
262,livingston,55.9,-3.52,59.0,100,3,3.36,GB,1593052674
263,chokurdakh,70.63,147.92,79.29,29,0,12.24,RU,1593052675
264,kondinskoye,59.65,67.41,55.58,67,87,8.57,RU,1593052675
265,makakilo city,21.35,-158.09,84.2,69,90,16.11,US,1593052499
266,airai,-8.93,125.41,70.41,69,58,4.23,TL,1593052675
267,kaitangata,-46.28,169.85,51.01,79,78,11.01,NZ,1593052675
268,altay,47.87,88.12,73.26,36,0,4.5,CN,1593052676
269,jizan,17.33,42.67,89.6,62,68,3.36,SA,1593052676
270,grand gaube,-20.01,57.66,71.01,85,6,7.0,MU,1593052676
271,ketchikan,55.34,-131.65,60.8,59,20,12.75,US,1593052676
272,dudinka,69.41,86.18,59.0,77,1,4.47,RU,1593052676
273,talaya,61.38,152.75,78.08,27,2,3.94,RU,1593052676
274,shache,38.42,77.24,81.27,23,99,22.88,CN,1593052676
275,matola,-25.96,32.46,64.0,87,1,3.0,MZ,1593052676
276,port hedland,-20.32,118.57,78.8,19,0,10.29,AU,1593052676
277,russell,32.35,-85.2,73.4,88,75,4.7,US,1593052676
278,turbat,26.0,63.04,85.46,64,0,2.82,PK,1593052676
279,najran,17.49,44.13,75.2,16,6,5.44,SA,1593052676
280,sitka,57.05,-135.33,53.6,71,90,3.36,US,1593052676
281,lethem,3.38,-59.8,75.83,88,99,3.78,GY,1593052679
282,alexandria,31.22,29.96,73.4,73,40,10.29,EG,1593052679
283,coueron,47.22,-1.72,66.0,93,0,2.24,FR,1593052680
