City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
87,garissa,-0.45,39.64,73.04,72,55,14.47,KE,1593729504
88,teguise,29.06,-13.56,71.6,83,20,21.92,ES,1593729504
89,naze,28.37,129.48,78.8,94,75,12.75,JP,1593729505
90,sidi ali,36.1,0.42,76.15,43,60,4.94,DZ,1593729505
91,bluff,-46.6,168.33,39.0,83,21,3.0,NZ,1593729505
92,new norfolk,-42.78,147.06,45.0,91,42,1.01,AU,1593729505
93,hilo,19.73,-155.09,84.2,62,1,8.05,US,1593729505
94,iquique,-20.22,-70.14,62.6,67,90,6.93,CL,1593729476
95,butaritari,3.07,172.79,81.45,74,55,6.82,KI,1593729505
96,tevaitoa,-16.78,-151.5,81.05,78,24,21.14,PF,1593729505
97,kamenka,51.32,42.77,64.0,81,0,3.33,RU,1593729505
98,tasiilaq,65.61,-37.64,48.2,66,0,2.24,GL,1593729505
99,east london,-33.02,27.91,63.57,67,2,18.86,ZA,1593729505
100,yellowknife,62.46,-114.35,63.0,72,90,13.87,CA,1593729505
101,bonthe,7.53,-12.51,75.88,91,100,6.22,SL,1593729506
102,paso de carrasco,-34.86,-56.05,46.4,75,90,6.93,UY,1593729506
103,kutum,14.2,24.67,78.82,55,96,12.68,SD,1593729506
104,fukuma,33.77,130.47,73.99,94,100,2.24,JP,1593729506
105,aden,12.78,45.04,87.1,75,84,5.75,YE,1593729425
106,luderitz,-26.65,15.16,55.4,82,0,12.75,NA,1593729506
107,cherskiy,68.75,161.3,41.86,91,100,1.77,RU,1593729506
108,qaanaaq,77.48,-69.36,43.57,63,58,4.61,GL,1593729506
109,warmbad,-28.45,18.73,52.3,40,0,3.0,NA,1593729506
110,shimoda,34.67,138.95,70.0,78,99,5.28,JP,1593729506
111,seoul,37.57,126.98,73.4,78,1,3.36,KR,1593729246
112,xichang,27.9,102.26,64.04,71,29,1.88,CN,1593729506
113,severnyy,50.68,36.55,69.8,68,7,3.06,RU,1593729506
114,raga,8.46,25.68,68.41,94,39,4.99,SS,1593729506
115,saint anthony,45.02,-93.22,91.4,41,1,5.82,US,1593729506
116,jamestown,42.1,-79.24,82.4,51,1,10.29,US,1593729404
117,camacha,33.08,-16.33,69.8,83,40,11.41,PT,1593729506
118,puerto escondido,15.85,-97.07,84.2,66,75,9.17,MX,1593729392
119,namibe,-15.2,12.15,68.77,62,0,4.03,AO,1593729506
120,sao filipe,14.9,-24.5,75.16,83,66,6.6,CV,1593729506
121,lerwick,60.15,-1.15,48.2,87,100,18.34,GB,1593729507
122,odweyne,9.41,45.06,73.08,53,53,18.41,SO,1593729507
123,balaghat,21.8,80.18,84.97,62,93,1.16,IN,1593729507
124,ercis,39.03,43.36,64.4,63,75,4.92,TR,1593729507
125,barretos,-20.56,-48.57,64.81,54,56,3.62,BR,1593729507
126,toropets,56.5,31.64,59.09,97,1,4.88,RU,1593729507
127,codrington,-38.27,141.97,47.64,92,100,15.55,AU,1593729507
128,caluquembe,-13.78,14.68,52.52,52,0,0.98,AO,1593729507
129,baculin,7.45,126.58,78.89,78,94,2.08,PH,1593729507
130,kodiak,57.79,-152.41,62.6,55,1,4.7,US,1593729507
